state,district,tonnes,value_lakh,loss_lakh,perish_t,perish_pct,loss_lakh_yr,recoverable_lakh_yr,cap_t,capex_lakh,opex_lakh_yr,net_benefit_lakh_yr,npv_lakh,payback_yrs,viable
Andhra Pradesh,Annamayya,744023.1000000001,171553.43560732002,17910.965541768597,741285.1000000001,99.6320006730974,8597.263460048925,5139.375353030341,50830.97828571429,4066.4782628571434,711.6336960000001,4427.741657030341,29611.276813909182,0.9184091073607273,True
Andhra Pradesh,Chittor,124771.92000000001,24811.361472850003,2600.34217250415,124771.92000000001,100.0,1248.1642428019918,748.8985456811951,8555.7888,684.463104,119.7810432,629.1175024811951,4100.65463868212,1.0879733933653504,True
Andhra Pradesh,Dr.B.R.A.Konaseema,95973.10000000002,24614.240938100003,2513.3332926075,90512.10000000002,94.30986390978305,1206.3999804516,682.6525078629318,6206.544000000002,496.52352000000013,86.89161600000001,595.7608918629318,4034.88119025864,0.8334275156050971,True
Andhra Pradesh,Kurnool,1523371.49,1048315.68110979,52728.36116011635,58382.649999999994,3.8324630848907373,25309.613356855847,581.9889532980454,4003.381714285714,320.2705371428571,56.047344,525.9416092980455,3680.0831588538485,0.608946946734848,True
Andhra Pradesh,SPSR Nellore,154153.21,38177.924899820006,1908.896244991,0.0,0.0,916.27019759568,0.0,0.0,0.0,0.0,0.0,0.0,,False
Karnataka,Bengaluru,1326405.62,269830.02513833,20709.72089268325,1314996.3200000003,99.13983325854727,9940.66602848796,5913.09583525921,90171.17622857146,7213.694098285717,1262.3964672000004,4650.6993680592095,28159.89505511071,1.5510987762032176,True
Karnataka,Chamarajanagar,116222.56,81258.57361083,4234.3634285272,17646.78,15.183609791420874,2032.494445693056,185.16361539980176,1210.0649142857142,96.80519314285714,16.9409088,168.22270659980177,1182.71008802162,0.5754585400480723,True
Karnataka,Chikkaballapur,228870.05000000002,37854.41375206,3598.5780448800992,205333.45,89.71617299860772,1727.3174615424475,929.8098732195488,14080.008000000002,1126.40064,197.12011200000003,732.6897612195487,4446.49593729398,1.5373500485732554,True
Karnataka,Chikkamagaluru,36184.78,8346.55357286,666.31084299,23642.379999999997,65.33791279095796,319.82920463519997,125.38183608273685,1621.1917714285714,129.69534171428572,22.6966848,102.68515128273685,651.3360830595133,1.2630389116063925,True
Karnataka,Chitradurga,305694.14,77150.97484529,3857.9754426394998,146.0,0.047760156606207756,1851.8282124669597,0.5306616326112945,10.011428571428572,0.8009142857142858,0.14016,0.3905016326112945,2.16927217927044,2.0509883156148447,True
Karnataka,Davangere,1037142.4199999999,230458.1693538,11883.474566517501,73195.6,7.0574299718644244,5704.0677919284,241.53635397781213,5019.126857142857,401.5301485714286,70.26777600000001,171.26857797781213,901.1522724601846,2.344447261210091,True
Karnataka,Dharwad,177146.51,45892.136498240005,2294.6068249120003,0.0,0.0,1101.4112759577602,0.0,0.0,0.0,0.0,0.0,0.0,,False
Karnataka,Hassan,157308.17,29997.74234672,1774.4430688585,63690.60999999999,40.48779538913966,851.7326730520799,206.9086691566656,4367.356114285714,349.3884891428571,61.142985599999996,145.7656835566656,759.3168892805276,2.396918675354987,True
Karnataka,Kalaburagi,54749.66,21486.038222479998,1172.4244071409003,25891.940000000002,47.29150829429808,562.7637154276321,159.6836694952552,1775.4473142857144,142.03578514285715,24.856262400000002,134.8274070952552,883.4721928530587,1.0534637445227233,True
Karnataka,Kolar,1061890.33,174434.16658989,16669.79479783695,944038.34,88.90167970547391,8001.501502961734,4268.081542675033,64734.0576,5178.724608,906.2768064,3361.804736275033,20391.42950079193,1.5404596680228853,True
Karnataka,Mandya,144576.64,33931.97480694,1711.8140598391997,1983.6900000000003,1.3720681294018178,821.6707487228158,6.764329483105829,136.0244571428572,10.881956571428576,1.9043424000000004,4.859987083105828,26.08349158230604,2.2390916653371726,True
Karnataka,Mysuru,326188.69,77716.16234936,4294.8392264366,58764.229999999996,18.015410037668687,2061.522828689568,222.8350743651431,4029.5472,322.36377600000003,56.4136608,166.4214135651431,943.450727128704,1.9370330361592303,True
Karnataka,Shivamogga,292128.22000000003,64483.12748088999,3444.8654133895498,26803.750000000004,9.175337459694925,1653.5353984269839,91.03047169271206,1837.971428571429,147.03771428571432,25.731600000000004,65.29887169271205,349.6306954812824,2.2517650071758446,True
Karnataka,Tumakuru,194275.32,48341.370678,2429.0326399125006,1127.3200000000002,0.5802692797005817,1165.9356671580001,4.059339898553939,77.30194285714286,6.184155428571429,1.0822272,2.977112698553939,16.460000455870084,2.077232558772543,True
Karnataka,Unknown,276159.57999999996,53539.58064969,3817.7550156967504,247433.78,89.59811569817714,1832.5224075344402,985.1433281386372,16966.887771428574,1357.351021714286,237.53642880000004,747.6068993386372,4329.006494120064,1.815594563018416,True
Karnataka,Uttara Kannada,135931.71,29764.1411299,1488.209115145,0.2,0.00014713270362007511,714.3403752695999,0.0006306169843103716,0.013714285714285717,0.0010971428571428573,0.00019200000000000003,0.00043861698431037156,0.002239012798339038,2.5013688397586162,True
Maharashtra,Ahilyanagar,3320473.67,554778.3745713601,41826.50949319275,3287125.87,98.99569147916176,20076.72455673252,11925.055380782418,225402.91680000004,18032.233344000004,3155.6408352000003,8769.414545582418,48668.63091347691,2.056264218126593,True
Maharashtra,Akola,192066.15,92663.80028989998,4991.8468990425,89734.20000000001,46.720465839503746,2396.0865115404,671.6776680655137,6153.2022857142865,492.2561828571429,86.14483200000001,585.5328360655137,3961.353121811377,0.8406978268970481,True
Maharashtra,Amarawati,165918.66999999998,35550.68908515,2383.32640467,80126.15,48.292425439524074,1143.9966742416,331.4782445632558,5494.364571428571,439.54916571428566,76.921104,254.5571405632558,1496.6326843083525,1.7267210212280826,True
Maharashtra,Beed,95275.90000000001,28249.6582146,1684.8162739275003,71250.2,74.78302487827456,808.7118114852001,362.86749310591324,4885.728,390.85824,68.400192,294.46730110591324,1848.8834642196216,1.3273400426195952,True
Maharashtra,Bhandara,30052.699999999997,7103.421397199999,355.17106986,0.0,0.0,170.48211353279999,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Buldhana,170129.68000000002,73343.01698576,3693.3809904955006,10263.2,6.03257468067888,1772.8228754378401,64.16811835016784,703.7622857142859,56.30098285714287,9.852672000000004,54.31544635016784,356.8266205028603,1.0365556511157878,True
Maharashtra,Chandrapur,314703.4,126134.9882523,6792.8305673235,77205.79999999999,24.532877623819758,3260.5586723152796,479.94532135916984,5294.112,423.52896,74.11756799999999,405.82775335916983,2663.229197916348,1.0436175359972586,True
Maharashtra,Chattrapati Sambhajinagar,994227.25,148113.33289255,10703.88955758425,928524.55,93.39158125066477,5137.86698764044,2879.0011333879825,63670.25485714287,5093.620388571429,891.3835680000001,1987.6175653879823,10024.356841904631,2.5626762800202747,True
Maharashtra,Dharashiv,39642.649999999994,3872.21244355,300.36592401925003,39096.450000000004,98.62219099883588,144.17564352924,85.3135071211247,2680.899428571429,214.47195428571433,37.532592,47.7809151211247,148.95348500973176,4.488653131528092,True
Maharashtra,Dhule,398082.94999999995,65622.49515352001,4261.8951949935,267259.4999999999,67.13663571876161,2045.7096935968798,824.0523989121189,18326.36571428571,1466.1092571428567,256.56911999999994,567.483278912119,2850.2136807632864,2.5835285577989686,True
Maharashtra,Gadchiroli,82620.5,19832.3240469,991.6162023449999,0.0,0.0,475.9757771255999,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Gondiya,26487.3,6094.879599700001,304.74397998499995,0.0,0.0,146.27711039279995,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Hingoli,94945.04000000001,116649.64740896,5832.482370448,0.0,0.0,2799.59153781504,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Jalgaon,640683.68,112752.90766962999,8699.1332736905,370365.7,57.80788734933906,4175.58397137144,1448.2901270084762,25396.505142857142,2031.7204114285714,355.55107200000003,1092.7390550084763,6279.7397206141695,1.859291476877626,True
Maharashtra,Jalna,89417.3,21774.683882700003,1199.410524405,10353.399999999998,11.578743710668961,575.7170517143999,39.9964811499779,709.9474285714285,56.79579428571428,9.939264,30.0572171499779,171.821789095393,1.8895892458146624,True
Maharashtra,Kolhapur,311927.39999999997,48966.85832739999,3857.309127393,311927.39999999997,100.0,1851.5083811486397,1110.9050286891838,21389.30742857143,1711.1445942857142,299.45030399999996,811.4547246891839,4460.844557469784,2.108736990768208,True
Maharashtra,Mumbai,1489970.4999999998,306350.14674890006,25289.597235440997,1470434.2999999998,98.68881967797348,12139.006673011678,7187.905443735397,100829.78057142855,8066.382445714285,1411.616928,5776.288515735398,35868.52725634509,1.3964646024415779,True
Maharashtra,Nagpur,665585.09,241709.80744577997,14964.535821553,412239.39999999997,61.936393436938324,7182.977194345439,2669.3262093452067,28267.844571428574,2261.427565714286,395.74982400000005,2273.5763853452067,15031.575184886544,0.9946565157391551,True
Maharashtra,Nanded,37159.82,45506.02833323,2275.3014166615,0.0,0.0,1092.14467999752,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Nandurbar,46189.8,11507.3144373,589.8961916895,1531.6,3.315883593347449,283.15017201096,5.633358058947901,105.02399999999999,8.401919999999999,1.4703359999999999,4.1630220589479014,23.262356766873296,2.0182261542287794,True
Maharashtra,Nashik,8574928.219999999,1516811.22733761,114912.02269588943,7783206.8,90.76701985500704,55157.77089402692,30039.038915376423,533705.6091428571,42696.44873142857,7471.878527999999,22567.160387376425,128951.16740656924,1.8919725831040768,True
Maharashtra,Parbhani,114082.0,87029.70884679,4351.4854423395,0.0,0.0,2088.71301232296,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Pune,2493425.9,493526.49170145,40831.92450312425,2448145.5999999996,98.18401260691164,19599.32376149964,11546.041507716141,167872.84114285716,13429.827291428574,2350.2197760000004,9195.821731716142,56514.32392584268,1.4604271030080391,True
Maharashtra,Raigad,60202.2,20161.4436005,2038.9575855204998,54260.899999999994,90.13109155479367,978.6996410498399,529.2676017126408,3720.7474285714284,297.65979428571427,52.090464,477.17713771264084,3331.787453749288,0.6237930754867115,True
Maharashtra,Sangli,357773.1,163573.3790108,9366.490375331,273459.70000000007,76.43383474051014,4495.91538015888,2061.8403190462896,18751.52228571429,1500.1217828571432,262.5213120000001,1799.3190070462895,12185.641641948758,0.8337164099209401,True
Maharashtra,Satara,112543.6,21032.6404692,1741.4930741404999,110453.5,98.14285308093929,835.9166755874398,492.23548488051176,7573.954285714286,605.9163428571429,106.03536,386.2001248805118,2331.5525123302496,1.5689180396940838,True
Maharashtra,Solapur,1578671.8,236829.48981270005,17837.6757664645,1554933.0999999999,98.49628656190602,8562.08436790296,5060.001092809116,106623.984,8529.91872,1492.735776,3567.265316809116,18602.984899746436,2.391164649236107,True
Maharashtra,Washim,58677.14,65009.57017532999,3250.4785087665005,0.0,0.0,1560.2296842079202,0.0,0.0,0.0,0.0,0.0,0.0,,False
Maharashtra,Yavatmal,241298.11000000002,177552.06192389,8877.603096194502,0.0,0.0,4261.24948617336,0.0,0.0,0.0,0.0,0.0,0.0,,False
Tamil Nadu,Coimbatore,44042.04,16549.9556801,1466.32878706725,34606.09,78.57512958073694,703.8378177922799,331.8248864211091,2372.989028571428,189.83912228571427,33.2218464,298.6030400211091,2081.3593409402206,0.6357575002327304,True
Tamil Nadu,Cuddalore,31863.8,10318.733681509997,765.75599715955,9129.039999999999,28.650192381323002,367.562878636584,63.18448311102606,625.9913142857142,50.07930514285714,8.7638784,54.42060471102606,363.8481410705867,0.9202269142134443,True
Tamil Nadu,Erode,32442.880000000005,25930.09354348,1506.7297428615004,10594.210000000001,32.65496158170914,723.2302765735202,141.70234137742304,726.4601142857143,58.11680914285715,10.1704416,131.53189977742304,942.3252781800061,0.4418457365947107,True
Tamil Nadu,Kancheepuram,96353.58000000002,19689.49307995,1050.54629175175,4638.86,4.814413745706178,504.26222004083996,14.5663617816296,318.09325714285717,25.447460571428575,4.4533056,10.1130561816296,51.47324879780946,2.516297755534471,True
Tamil Nadu,Krishnagiri,27247.89,9466.09281158,902.55413054755,25328.93,92.95739963718292,433.225982662824,241.62936482159643,1736.8409142857145,138.94727314285717,24.3157728,217.31359202159643,1513.9571855748645,0.6393860220627559,True
Tamil Nadu,Madurai,136399.13000000003,35013.247559639996,2093.2053998196,19324.95,14.167942273532093,1004.7385919134081,85.41047022131451,1325.1394285714287,106.0111542857143,18.551952000000004,66.85851822131451,402.52005097957044,1.58560430452253,True
Tamil Nadu,Pudukkottai,26384.11,9174.05486253,675.1505834888,9382.08,35.55958491683062,324.07228007462396,69.14325457502704,643.3426285714287,51.467410285714294,9.006796800000002,60.13645777502704,405.93526877889724,0.8558437292441798,True
Tamil Nadu,Ramanathapuram,59984.020000000004,12840.649104650001,722.3422144620001,3397.08,5.663308327784633,346.72426294176006,11.781638434578351,232.9426285714286,18.635410285714286,3.2611968000000005,8.52044163457835,46.17174621574867,2.1871413578008148,True
Tamil Nadu,Salem,48518.14,21478.72524996,2084.9435379995502,45286.72,93.33976941407894,1000.772898239784,560.4714693453656,3105.375085714286,248.43000685714287,43.4752512,516.9962181453656,3683.8843328172516,0.4805257720227481,True
Tamil Nadu,Thiruchirappalli,30893.39,8058.895284,563.0327977051,9173.56,29.694248510765572,270.25574289844803,48.1502471465285,629.0441142857143,50.32352914285714,8.806617600000001,39.3436295465285,248.9272452547816,1.2790769362888499,True
Tamil Nadu,Thirunelveli,55963.73,14058.48277824,943.3617605892499,11420.15,20.406341750272897,452.8136450828399,55.44161994448325,783.096,62.64768,10.963344,44.47827594448325,275.6576231372625,1.4085006369895132,True
Tamil Nadu,Thiruvannamalai,104338.53000000001,25900.60244006,1569.9828063912498,13726.54,13.15577284824695,753.5917470677998,59.484491068425264,941.2484571428572,75.29987657142858,13.1774784,46.307012668425266,276.9149434842427,1.6261009344438297,True
Tamil Nadu,Thiruvellore,375532.72,72921.91459351001,3688.148580909199,2602.55,0.6930288258237526,1770.3113188364155,7.361260647814199,178.46057142857143,14.276845714285713,2.498448,4.8628126478141995,22.710093909270995,2.935923455883717,True
Tamil Nadu,Vellore,167786.9,41596.59388903,2510.101567024,23806.280000000002,14.188402074297818,1204.84875217152,102.56927120715318,1632.4306285714288,130.59445028571432,22.854028800000002,79.71524240715317,475.72602132773704,1.638261972769157,True
Tamil Nadu,Villupuram,243850.12000000002,55356.322481309995,2864.3232919856,5165.039999999999,2.1181207538466653,1374.875180153088,17.47290991818557,354.1741714285714,28.333933714285713,4.9584383999999995,12.514471518185573,66.85213163246533,2.2640935075134316,True
Telangana,Adilabad,56105.81000000001,32349.31071547,1683.0626212362497,6191.700000000001,11.035755477017442,807.8700581933998,53.49273851655727,424.57371428571435,33.965897142857145,5.944032000000001,47.54870651655727,327.69334504420016,0.7143390353011946,True
Telangana,Asifabad,282354.61999999994,196484.58707704,9824.229353852,0.0,0.0,4715.63008984896,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Bhadradri Kothagudem,426527.66,114522.68059574,5726.134029787,0.0,0.0,2748.54433429776,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Hyderabad,1630220.19,290230.29359111,24856.353042868654,1629959.4900000002,99.984008295223,11931.049460576953,7157.484889422251,111768.65074285716,8941.492059428572,1564.7611104000002,5592.723779022252,33597.20966063606,1.5987723357565442,True
Telangana,Jagtial,114338.31999999999,61407.39370996,3096.3109889075,1811.1,1.583983392444458,1486.2292746755998,14.124974930705537,124.18971428571427,9.935177142857142,1.7386559999999998,12.386318930705539,84.27614943458161,0.8021089395839757,True
Telangana,Jogulamba Gadwal,83448.5,26952.415898100004,1347.6207949050001,0.0,0.0,646.8579815544,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Karimnagar,71460.27000000002,20767.0283566,1078.5296309927498,2526.74,3.535866853007971,517.6942228765199,10.982987055976846,173.2621714285714,13.860973714285711,2.4256704,8.557316655976846,51.226657131731024,1.6197803904573909,True
Telangana,Khammam,734994.82,264565.43958793,13915.94886639745,57534.54,7.827883739371116,6679.655455870776,313.72539796567446,3945.2256,315.618048,55.2331584,258.4922395656745,1650.4944779002292,1.2209962222862465,True
Telangana,Mahbubnagar,244597.36,73191.15590321,3716.52363648055,3661.6,1.496990809712746,1783.931345510664,16.023172976327743,251.08114285714288,20.08649142857143,3.5151360000000005,12.508036976327743,75.05063228122228,1.6058867963523291,True
Telangana,Mancherial,32179.89,16115.90068087,826.6067806689501,1029.9299999999998,3.200539218748106,396.77125472109606,7.619291769640575,70.62377142857142,5.649901714285713,0.9887327999999999,6.630558969640575,44.78265698006658,0.8521003644119584,True
Telangana,Nagarkurnool,55060.51000000001,19303.682159100004,988.647428371,2374.4,4.312346543829688,474.55076561808,12.278564123909156,162.81600000000003,13.025280000000002,2.2794240000000006,9.999140123909156,63.02897477717112,1.3026400109000353,True
Telangana,Nirmal,66401.84000000001,40435.324570920005,2021.7662285459999,0.0,0.0,970.4477897020798,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Nizamabad,134723.2,153771.02107,7688.5510535,0.0,0.0,3690.50450568,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Ranga Reddy,101597.52,22124.880275080002,1786.6627213633,64197.240000000005,63.187802221944004,857.598106254384,325.1384371434944,4402.096457142858,352.1677165714286,61.62935040000001,263.5090867434944,1652.1033478342974,1.336453785801461,True
Telangana,Sangareddy,26157.0,5047.6741154,334.928113768,18613.619999999995,71.16114233283632,160.76549460863998,68.64153746432557,1276.3625142857143,102.10900114285715,17.8690752,50.77246226432557,284.0703835706444,2.0111098928247637,True
Telangana,Siddipet,38156.42,8562.76333354,492.937202951,7205.599999999999,18.884371227699035,236.60985741648,26.809370301514477,494.0982857142857,39.52786285714286,6.917376,19.891994301514476,111.7722273392092,1.987124179606939,True
Telangana,Suryapet,352793.91000000003,76882.47974313001,3844.1239871564994,0.0,0.0,1845.1795138351197,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Vikarabad,38050.09000000001,8635.64384266,431.78219213299997,0.0,0.0,207.25545222383997,0.0,0.0,0.0,0.0,0.0,0.0,,False
Telangana,Warangal,185640.18,96512.72416256,5258.48447051975,32471.56,17.491665866732085,2524.07254584948,264.9014015723454,2226.6212571428573,178.12970057142857,31.172697600000003,233.7287039723454,1599.6294047486424,0.7621216288116018,True
